"等級,科目,主題,內容,題目,選項A,選項B,選項C,選項D,正確答案,解析"
"初級,考科一：人工智慧基礎概論,人工智慧發展與應用,AI 概念,關於AI，下列敘述何者正確？,AI 僅能處理結構化數據的分析,AI 涵蓋多種專業領域與技術,AI 系統只能在學術研究中應用,AI 無法應用於金融領域,選項B,AI (Artificial Intelligence) 是一個廣泛的領域，涵蓋機器學習、深度學習、自然語言處理等多種技術。"
"初級,考科一：人工智慧基礎概論,人工智慧發展與應用,機器學習,下列何者最適合訓練電腦下圍棋、自動駕駛等動態重複地互動的問題？,監督式學習(Supervised Learning),非監督式學習(Unsupervised Learning),半監督式學習(Semi-supervised Learning),強化學習(Reinforcement Learning),選項D,強化學習適合用於動態環境中的決策與互動問題，如圍棋(AlphaGo)與自動駕駛。"
"初級,考科二：生成式AI應用與規劃,生成式AI原理與技術,Low Code 平台,在Low Code 平台的開發應用設計中，關於「模型(Model)」，下列敘述何者最符合實際情況？,模型僅扮演設計視覺化的輔助工具，對應用邏輯的影響有限,模型是用來抽象描述資料結構、業務流程與介面邏輯的核心元素，影響應用的設計與維護,模型僅依循UML等傳統建模方式，缺乏針對Low Code環境的延展性,模型在Low Code 平台中已被自動程式碼生成全面取代，實際價值有限,選項B,在Low Code平台中，模型是核心，定義了資料結構與流程。"
"初級,考科二：生成式AI應用與規劃,生成式AI風險管理,隱私保護,企業在導入生成式AI平台時，往往需要利用分散於不同部門或機構中的大量敏感文本資料。若希望在確保隱私的前提下，仍能讓模型持續優化並降低資料外洩風險，下列哪一種方法最適合？,同態加密(Homomorphic Encryption),安全多方計算(Secure Multi-party Computation),零知識證明(Zero-knowledge Proofs),聯邦學習(Federated Learning),選項D,聯邦學習(Federated Learning)允許在不交換原始數據的情況下進行模型訓練，適合隱私保護。"
"初級,考科二：生成式AI應用與規劃,生成式AI應用實務,RAG,某顧問公司導入生成式AI，協助團隊快速檢索並摘要長篇的法規文件。為了改善檢索結果常出現不相關或過於分散內容的問題，下列何者為團隊決定對文件進行文本切分(Chunking)的主要目的？,讓模型在回答時能加快推理速度,提高檢索相關性與降低長上下文噪音,降低系統記憶體和硬體資源的負擔,使模型在生成回覆時更具創造性與多樣化,選項B,文本切分(Chunking)可以提高檢索的精準度，避免檢索到過多無關的上下文。"
"中級,考科一：人工智慧技術應用與規劃,AI 技術架構與導入,自然語言處理,某電商企業希望利用自然語言處理(NLP)技術，分析顧客在社群平台與商品評論中的文字內容，以即時掌握顧客對產品的滿意度變化。若採用情感分析(Sentiment Analysis)模型，其主要目的為何？,預測顧客使用的語言風格與語氣,判斷文本中所表達的情感傾向,將顧客留言自動翻譯成企業內部指定語言,產生顧客評論的自動化摘要內容,選項B,情感分析的主要目的是判斷文本中的正面、負面或中性情感傾向。"
"中級,考科一：人工智慧技術應用與規劃,AI 技術架構與導入,Transformer,某跨國金融科技公司導入Transformer 架構開發多語客服系統，以提升長篇金融文件的自動翻譯品質。下列何者為該模型能顯著改善翻譯準確度的主要原因？,透過自注意力機制(Self-Attention Mechanism) 捕捉長距離語境依賴關係,透過卷積運算(Convolution Operation)加速訓練過程,透過強化學習(Reinforcement Learning)自動調整語句生成策略,透過生成對抗網絡(GAN)增強翻譯結果的真實性,選項A,Transformer 的核心是自注意力機制，能有效處理長距離的依賴關係。"
"中級,考科二：大數據處理分析與應用,數據分析與視覺化,統計分析,若某數據點的Z分數(Z-Score) = 2，請問代表下列哪一種意涵？,代表該數據點之原始數值為2,該數據點比平均值低2個標準差,代表數據為異常值,該數據點比平均值高2個標準差,選項D,Z-Score = (x - mean) / std，值為 2 代表比平均值高 2 個標準差。"
"中級,考科二：大數據處理分析與應用,數據分析與視覺化,Pandas,使用Python的pandas 套件處理各商品銷售數據(變數為df)時，若需計算「總銷售額」欄位的敘述性統計量(如平均值、標準差等)，應使用下列哪一種語法？,df['總銷售額'].sum(),df['總銷售額'].describe(),df['總銷售額'].sort_values(),df['總銷售額'].stats(),選項B,.describe() 方法會回傳計數、平均值、標準差、最小值、四分位數等敘述性統計量。"
"中級,考科三：機器學習技術與應用,機器學習演算法,模型評估,某零售企業建立一個銷售預測模型，希望評估該模型在不同月份的新資料上，是否仍能維持穩定的預測表現。資料科學團隊計畫利用統計方法檢驗模型對未觀察資料的適應能力與泛化效果。下列哪一種方法最適合用於此目的？,F檢定(F-test),交叉驗證(Cross-Validation),配對樣本t檢定(Paired-sample t-test),卡方檢定(Chi-square Test),選項B,交叉驗證(Cross-Validation)是用來評估模型泛化能力最常用的方法。"
"中級,考科三：機器學習技術與應用,機器學習演算法,正則化,在建立迴歸或分類模型時，若希望避免模型過度擬合(Overfitting)，可透過加入正則化項以限制模型的複雜度。其中，L1正則化(Lasso)的主要效果為何？,增加模型參數的數量，以提升表現靈活度,強化梯度穩定性，避免參數更新過度震盪,產生稀疏模型(Sparse Model)，使部分參數權重收斂為零,提高模型對訓練資料的記憶能力,選項C,L1 Regularization (Lasso) 容易產生稀疏解，即許多參數會變為 0，可用於特徵選擇。"
```
